date_time,symbol,open,high,low,close,volume
2020-01-01 23:00:00+00:00,NQH0,8776.75,8779.25,8770.0,8773.5,555
2020-01-01 23:01:00+00:00,NQH0,8773.25,8774.0,8770.5,8770.5,176
2020-01-01 23:02:00+00:00,NQH0,8770.25,8771.5,8769.5,8771.0,251
2020-01-01 23:03:00+00:00,NQH0,8771.5,8773.25,8771.5,8773.0,125
2020-01-01 23:04:00+00:00,NQH0,8773.0,8773.25,8771.25,8771.5,73
2020-01-01 23:05:00+00:00,NQH0,8771.5,8772.0,8770.75,8771.0,55
2020-01-01 23:06:00+00:00,NQH0,8771.0,8772.25,8771.0,8771.75,72
2020-01-01 23:07:00+00:00,NQH0,8772.0,8772.25,8769.75,8770.75,199
2020-01-01 23:08:00+00:00,NQH0,8770.75,8773.0,8770.75,8772.75,53
2020-01-01 23:09:00+00:00,NQH0,8773.0,8777.75,8773.0,8777.75,276
2020-01-01 23:10:00+00:00,NQH0,8777.75,8782.0,8777.75,8781.75,459
2020-01-01 23:11:00+00:00,NQH0,8781.5,8782.0,8779.75,8780.0,136
2020-01-01 23:12:00+00:00,NQH0,8780.0,8781.0,8780.0,8780.0,98
2020-01-01 23:13:00+00:00,NQH0,8780.0,8781.5,8780.0,8780.5,165
2020-01-01 23:14:00+00:00,NQH0,8780.5,8781.0,8779.75,8781.0,101
2020-01-01 23:15:00+00:00,NQH0,8781.0,8782.75,8780.25,8780.5,178
2020-01-01 23:16:00+00:00,NQH0,8780.25,8780.25,8778.25,8778.75,133
2020-01-01 23:17:00+00:00,NQH0,8778.75,8779.25,8778.25,8779.0,75
2020-01-01 23:18:00+00:00,NQH0,8779.0,8782.5,8778.5,8782.0,269
2020-01-01 23:19:00+00:00,NQH0,8781.75,8782.0,8781.25,8781.5,103
2020-01-01 23:20:00+00:00,NQH0,8781.5,8783.75,8781.0,8783.75,120
2020-01-01 23:21:00+00:00,NQH0,8783.5,8783.75,8781.5,8782.5,144
2020-01-01 23:22:00+00:00,NQH0,8782.5,8782.5,8781.0,8781.25,64
2020-01-01 23:23:00+00:00,NQH0,8781.0,8781.0,8780.25,8780.5,46
2020-01-01 23:24:00+00:00,NQH0,8780.25,8780.5,8779.75,8780.0,50
2020-01-01 23:25:00+00:00,NQH0,8780.0,8780.25,8778.5,8780.0,61
2020-01-01 23:26:00+00:00,NQH0,8780.25,8781.5,8780.25,8781.5,81
2020-01-01 23:27:00+00:00,NQH0,8781.5,8782.75,8781.5,8782.25,90
2020-01-01 23:28:00+00:00,NQH0,8782.25,8783.5,8782.0,8783.0,77
2020-01-01 23:29:00+00:00,NQH0,8783.25,8783.5,8782.5,8782.75,66
2020-01-01 23:30:00+00:00,NQH0,8782.75,8782.75,8780.75,8781.25,68
2020-01-01 23:31:00+00:00,NQH0,8781.0,8783.25,8780.75,8781.75,73
2020-01-01 23:32:00+00:00,NQH0,8782.0,8782.0,8781.5,8781.75,31
2020-01-01 23:33:00+00:00,NQH0,8781.5,8781.5,8780.5,8780.5,30
